100	11	8	10510	18831	11431	222	
200	29	22	26542	49485	35551	1078		
300	79	45	49098	93061	74629	3157	
上面的忘记除deadlineFactor的个数了

100	0	0	561	1093	584	11	
200	1	1	1397	2590	1814	57	
300	3	2	2432	4510	3664	157	
400	7	3	3564	6693	6268	339	
500	11	4	4933	9552	9904	616	
600	19	7	6176	11901	14176	1069	
700	26	10	7439	13611	16869	1478（远程过，可能执行的慢了）	
700	27	10	7356	14206	19198	1763（无远程）
800	32	12	7230	16579	22564	2303	
900	48	16	9822	18609	30886	3798	
1000	61	21	10942	21495	39498	5662		
   .\dax\CyberShake_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.057s
 .\dax\CyberShake_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.357s
 .\dax\CyberShake_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.342s
 .\dax\CyberShake_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.337s
 .\dax\CyberShake_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.344s
 .\dax\CyberShake_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.358s
  .\dax\CyberShake_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.003s
  .\dax\CyberShake_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\CyberShake_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.003s
 .\dax\CyberShake_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.006s
.\dax\CyberShake_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.345s
.\dax\CyberShake_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.345s
.\dax\CyberShake_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.34s
.\dax\CyberShake_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.346s
.\dax\CyberShake_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.353s
.\dax\CyberShake_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.345s
.\dax\CyberShake_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.344s
.\dax\CyberShake_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.346s
.\dax\CyberShake_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.343s
.\dax\CyberShake_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.35s
  .\dax\CyberShake_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.003s
  .\dax\CyberShake_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\CyberShake_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.008s
 .\dax\CyberShake_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.006s
.\dax\CyberShake_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.359s
.\dax\CyberShake_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.327s
.\dax\CyberShake_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.331s
.\dax\CyberShake_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.349s
.\dax\CyberShake_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.331s
.\dax\CyberShake_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.337s
.\dax\CyberShake_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.339s
.\dax\CyberShake_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.345s
.\dax\CyberShake_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.349s
.\dax\CyberShake_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.354s
  .\dax\CyberShake_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.003s
  .\dax\CyberShake_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.003s
 .\dax\CyberShake_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.007s
 .\dax\CyberShake_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.006s
.\dax\CyberShake_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.305s
.\dax\CyberShake_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.291s
.\dax\CyberShake_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.293s
.\dax\CyberShake_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.294s
.\dax\CyberShake_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.292s
.\dax\CyberShake_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.294s
.\dax\CyberShake_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.302s
.\dax\CyberShake_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.304s
.\dax\CyberShake_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.293s
.\dax\CyberShake_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.285s
  .\dax\CyberShake_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.003s
  .\dax\CyberShake_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.003s
 .\dax\CyberShake_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.007s
 .\dax\CyberShake_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.006s
.\dax\CyberShake_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.285s
.\dax\CyberShake_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.298s
.\dax\CyberShake_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.293s
.\dax\CyberShake_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.301s
.\dax\CyberShake_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.305s
.\dax\CyberShake_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.321s
.\dax\CyberShake_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.298s
.\dax\CyberShake_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.296s
.\dax\CyberShake_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.317s
.\dax\CyberShake_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.315s
  .\dax\CyberShake_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.003s
  .\dax\CyberShake_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.003s
  .\dax\CyberShake_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\CyberShake_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.004s
.\dax\CyberShake_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.298s
.\dax\CyberShake_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.306s
.\dax\CyberShake_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.29s
.\dax\CyberShake_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.298s
.\dax\CyberShake_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.298s
.\dax\CyberShake_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.286s
.\dax\CyberShake_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.291s
.\dax\CyberShake_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.324s
.\dax\CyberShake_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.296s
.\dax\CyberShake_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.29s
  .\dax\CyberShake_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\CyberShake_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.006s
.\dax\CyberShake_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.301s
.\dax\CyberShake_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.314s
.\dax\CyberShake_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.328s
.\dax\CyberShake_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.333s
.\dax\CyberShake_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.375s
.\dax\CyberShake_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.295s
.\dax\CyberShake_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.313s
.\dax\CyberShake_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.3s
.\dax\CyberShake_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.306s
.\dax\CyberShake_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.344s
  .\dax\CyberShake_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.003s
  .\dax\CyberShake_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.003s
  .\dax\CyberShake_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\CyberShake_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.007s
 .\dax\CyberShake_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.006s
.\dax\CyberShake_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.298s
.\dax\CyberShake_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.391s
.\dax\CyberShake_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.336s
.\dax\CyberShake_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.313s
.\dax\CyberShake_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.302s
.\dax\CyberShake_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.32s
.\dax\CyberShake_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.307s
.\dax\CyberShake_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.341s
.\dax\CyberShake_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.336s
.\dax\CyberShake_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.323s
  .\dax\CyberShake_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.003s
  .\dax\CyberShake_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.003s
  .\dax\CyberShake_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\CyberShake_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.004s
.\dax\CyberShake_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.395s
.\dax\CyberShake_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.459s
.\dax\CyberShake_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.301s
.\dax\CyberShake_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.299s
.\dax\CyberShake_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.303s
.\dax\CyberShake_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.308s
.\dax\CyberShake_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.298s
.\dax\CyberShake_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.333s
.\dax\CyberShake_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.304s
.\dax\CyberShake_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.307s
  .\dax\CyberShake_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.004s
  .\dax\CyberShake_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\CyberShake_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.003s
 .\dax\CyberShake_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.007s
 .\dax\CyberShake_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\CyberShake_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.005s
.\dax\CyberShake_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.362s
.\dax\CyberShake_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.367s
.\dax\CyberShake_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.349s
.\dax\CyberShake_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.397s
.\dax\CyberShake_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.379s
.\dax\CyberShake_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.352s
.\dax\CyberShake_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.348s
